ID	Gene	Protein	Category	Sub-category	Pathway/Activity	EC	KO	UniProt
AF-Q52384-F1-model_v4	tcbAb	Chlorobenzene dioxygenase, small subunit of terminal oxygenase	Carbon cycling	Aromatic hydrocarbon cycling	benzene conversion to catechol	1.14.12.3; 1.14.12.111.14.12.26	K16268	Q52384
AF-Q52387-F1-model_v4	tcbB	Chlorobenzene glycol dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	benzene conversion to catechol	1.3.1.19; 1.3.1.119	K16269	Q52387
AF-Q52385-F1-model_v4	tcbAc	Chlorobenzene dioxygenase, ferredoxin	Carbon cycling	Aromatic hydrocarbon cycling	benzene conversion to catechol	-	K18089	Q52385
AF-Q52386-F1-model_v4	tcbAd	Chlorobenzene dioxygenase, NADH-ferredoxin reductase	Carbon cycling	Aromatic hydrocarbon cycling	benzene conversion to catechol	1.18.1.3	K18090	Q52386
AF-Q59760-F1-model_v4	badA	Benzoate-coenzyme A ligase	Carbon cycling	Aromatic hydrocarbon cycling	benzoate conversion to benzoyl-coa	6.2.1.25	K04110	Q59760
AF-P07769-F1-model_v4	benA	Benzoate 1,2-dioxygenase subunit alpha	Carbon cycling	Aromatic hydrocarbon cycling	benzoate degradation to catechol	1.14.12.10	K05549	P07769
AF-P07770-F1-model_v4	benB	Benzoate 1,2-dioxygenase subunit beta	Carbon cycling	Aromatic hydrocarbon cycling	benzoate degradation to catechol	1.14.12.10	K05550	P07770
AF-P07772-F1-model_v4	benD	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	benzoate degradation to catechol	1.3.1.25	K05783	P07772
AF-P07771-F1-model_v4	benC	Benzoate 1,2-dioxygenase electron transfer component [Includes: Ferredoxin; Ferredoxin--NAD(+) reductase	Carbon cycling	Aromatic hydrocarbon cycling	benzoate degradation to catechol	-	K05784	P07771
AF-P00438-F1-model_v4	pobA	p-hydroxybenzoate hydroxylase	Carbon cycling	Aromatic hydrocarbon cycling	benzoate degradation to protocatechuic acid	1.14.13.2	K00481	P00438
AF-P17549-F1-model_v4	pbhA	Benzoate 4-monooxygenase bphA	Carbon cycling	Aromatic hydrocarbon cycling	benzoate degradation to protocatechuic acid	1.14.14.92	K07824	P17549
AF-Q9AIX6-F1-model_v4	boxA	Benzoyl-CoA oxygenase component A	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation	1.14.13.208	K15511	Q9AIX6
AF-Q9AIX7-F1-model_v4	boxB	Benzoyl-CoA oxygenase component B	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation	1.14.13.208	K15512	Q9AIX7
AF-Q84HH6-F1-model_v4	boxC	Benzoyl-CoA-dihydrodiol lyase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation	4.1.2.44	K15513	Q84HH6
AF-Q84HH8-F1-model_v4	boxD	3,4-dehydroadipyl-CoA semialdehyde dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation	1.2.1.77	K15514	Q84HH8
AF-O87874-F1-model_v4	bcrC	Benzoyl-CoA reductase subunit C	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 1	1.3.7.8	K04112	O87874
AF-O87875-F1-model_v4	bcrB	Benzoyl-CoA reductase subunit B	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 1	1.3.7.8	K04113	O87875
AF-O87876-F1-model_v4	bcrA	Benzoyl-CoA reductase subunit A	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 1	1.3.7.8	K04114	O87876
AF-O87877-F1-model_v4	bcrD	Benzoyl-CoA reductase subunit D	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 1	1.3.7.8	K04115	O87877
AF-Q2LXU6-F1-model_v4	dch	Enoyl-CoA hydratase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 1	4.2.1.100	K07537	Q2LXU6
AF-O87871-F1-model_v4	had	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 1	1.1.1.368	K07538	O87871
AF-O87872-F1-model_v4	oah	6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 1	3.7.1.21	K07539	O87872
AF-Q39TV8-F1-model_v4	bamB	Bifurcating benzoyl-CoA reductase complex BamB subunit	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 2	-	K19515	Q39TV8
AF-Q39TV9-F1-model_v4	bamC	Bifurcating benzoyl-CoA reductase complex BamC subunit	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 2	-	K19516	Q39TV9
AF-O07453-F1-model_v4	badK	Cyclohex-1-ene-1-carboxyl-CoA hydratase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 3	-	K07534	O07453
AF-O07457-F1-model_v4	badH	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 3	-	K07535	O07457
AF-O07456-F1-model_v4	badI	1,4-dihydroxy-2-naphthoyl-CoA synthase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 3	-	K07536	O07456
AF-Q39QF5-F1-model_v4	acad	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	benzoyl-coa degradation route 3	1.3.8.10	K19066 	Q39QF5
AF-A0A097SRG2-F1-model_v4	bphC	Biphenyl-2,3-diol 1,2-dioxygenase	Carbon cycling	Aromatic hydrocarbon cycling	biphenyl conversion to benzoate	1.13.11.39	K00462	A0A097SRG2
AF-Q53122-F1-model_v4	bphAa	Biphenyl 2,3-dioxygenase subunit alpha	Carbon cycling	Aromatic hydrocarbon cycling	biphenyl conversion to benzoate	1.14.12.18	K08689	Q53122
AF-A0A097SRI2-F1-model_v4	bphB	Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	biphenyl conversion to benzoate	1.3.1.56	K08690	A0A097SRI2
AF-Q75WN8-F1-model_v4	bphD	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase	Carbon cycling	Aromatic hydrocarbon cycling	biphenyl conversion to benzoate	3.7.1.8	K10222	Q75WN8
AF-Q53123-F1-model_v4	bphAb	Biphenyl 2,3-dioxygenase subunit beta	Carbon cycling	Aromatic hydrocarbon cycling	biphenyl conversion to benzoate	1.14.12.18	K15750	Q53123
AF-Q53124-F1-model_v4	bphAc	Biphenyl 2,3-dioxygenase, ferredoxin component	Carbon cycling	Aromatic hydrocarbon cycling	biphenyl conversion to benzoate	-	K18087	Q53124
AF-Q0S032-F1-model_v4	bphAd	Biphenyl 2,3-dioxygenase, ferredoxin reductase component	Carbon cycling	Aromatic hydrocarbon cycling	biphenyl conversion to benzoate	1.18.1.3	K18088	Q0S032
AF-Q51974-F1-model_v4	cmtAb	p-cumate 2,3-dioxygenase system, large oxygenase component	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	1.14.12.25	K10619	Q51974
AF-P0C622-F1-model_v4	cmtB	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	1.3.1.58	K10620	P0C622
AF-Q51976-F1-model_v4	cmtC	2,3-dihydroxy-p-cumate dioxygenase	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	1.13.11.14	K10621	Q51976
AF-Q51979-F1-model_v4	cmtD	2-hydroxy-3-carboxy-6-oxo-7-methylocta-2, 4-dienate decarboxylase	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	-	K10622	Q51979
AF-Q51980-F1-model_v4	cmtE	2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	-	K10623	Q51980
AF-Q51975-F1-model_v4	cmtAc	p-cumate 2,3-dioxygenase system, small oxygenase component	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	1.14.12.25	K16303	Q51975
AF-Q51978-F1-model_v4	cmtAd	p-cumate 2,3-dioxygenase system, ferredoxin component	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	-	K16304	Q51978
AF-Q51973-F1-model_v4	cmtAa	p-cumate 2,3-dioxygenase system, ferredoxin--NAD(+) reductase component	Carbon cycling	Aromatic hydrocarbon cycling	cumic acid degradation	1.18.1.3	K18227	Q51973
AF-O33456-F1-model_v4	cymAa	CymAa	Carbon cycling	Aromatic hydrocarbon cycling	cymene conversion to cumic acid	1.14.15.25	K10616	O33456
AF-O33454-F1-model_v4	cymB	CymB	Carbon cycling	Aromatic hydrocarbon cycling	cymene conversion to cumic acid	-	K10617	O33454
AF-O33455-F1-model_v4	cymC	CymC	Carbon cycling	Aromatic hydrocarbon cycling	cymene conversion to cumic acid	-	K10618	O33455
AF-O33457-F1-model_v4	cymAb	CymAb	Carbon cycling	Aromatic hydrocarbon cycling	cymene conversion to cumic acid	1.18.1.3	K18293	O33457
AF-Q93PD2-F1-model_v4	ebdA	Ethylbenzene dehydrogenase subunit A	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	1.17.99.2	K10700	Q93PD2
AF-Q5P5G2-F1-model_v4	apcA	Acetophenone carboxylase alpha subunit	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	6.4.1.8	K10701	Q5P5G2
AF-Q5P5G3-F1-model_v4	apcB	Acetophenone carboxylase beta subunit	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	6.4.1.8	K10701	Q5P5G3
AF-Q5P5G4-F1-model_v4	apcC	Acetophenone carboxylase gamma subunit	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	6.4.1.8	K10701	Q5P5G4
AF-Q5P5G5-F1-model_v4	apcD	Acetophenone carboxylase delta subunit	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	6.4.1.8	K10701	Q5P5G5
AF-Q5P5G6-F1-model_v4	apcE	Acetophenone carboxylase epsilon subunit	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	6.4.1.8	K10701	Q5P5G6
AF-Q5P5I4-F1-model_v4	ped	(S)-1-Phenylethanol dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	1.1.1.311	K14746	Q5P5I4
AF-Q5P5G7-F1-model_v4	bal	Benzoylacetate-CoA ligase	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	-	K14747	Q5P5G7
AF-Q93PD1-F1-model_v4	ebdB	Anaerobic ethylbenzene dehydrogenase subunit B	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	-	K17048	Q93PD1
AF-Q93PD0-F1-model_v4	ebdC	Anaerobic ethylbenzene dehydrogenase subunit C	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene conversion to benzoyl-coa	-	K17049	Q93PD0
AF-Q75WN5-F1-model_v4	etbAa	Ethylbenzene dioxygenase alpha subunit	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene degradation	-	K14748	Q75WN5
AF-Q75WN4-F1-model_v4	etbAb	Ethylbenzene dioxygenase beta subunit	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene degradation	-	K14749	Q75WN4
AF-Q75WN3-F1-model_v4	etbAc	Ethylbenzene dioxygenase ferredoxin component	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene degradation	-	K14750	Q75WN3
AF-A0A7W6PWX1-F1-model_v4	etbC	2,3-dihydroxyethylbenzene 1,2-dioxygenase	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene degradation	-	K14751	A0A7W6PWX1
AF-Q75WN2-F1-model_v4	etbD	2-hydroxt-6-oxohepta-2,4-dienoate hydrolase	Carbon cycling	Aromatic hydrocarbon cycling	ethylbenzene degradation	-	K18092	Q75WN2
AF-P20906-F1-model_v4	mdlC	Benzoylformate decarboxylase	Carbon cycling	Aromatic hydrocarbon cycling	mandelic acid conversion to benzoate	4.1.1.7	K01576	P20906
AF-P11444-F1-model_v4	mdlA	Mandelate racemase	Carbon cycling	Aromatic hydrocarbon cycling	mandelic acid conversion to benzoate	5.1.2.2	K01781	P11444
AF-P20932-F1-model_v4	mdlB	(S)-mandelate dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	mandelic acid conversion to benzoate	1.1.99.31	K15054	P20932
AF-P0A185-F1-model_v4	nahAb	Naphthalene 1,2-dioxygenase system, ferredoxin component	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	-	K14578	P0A185
AF-P0A110-F1-model_v4	nahAc	Naphthalene 1,2-dioxygenase system, large oxygenase component	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	1.14.12.12; 1.14.12.23; 1.14.12.24	K14579	P0A110
AF-P0A112-F1-model_v4	nahAd	Naphthalene 1,2-dioxygenase system, small oxygenase component	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	1.14.12.12; 1.14.12.23; 1.14.12.24	K14580	P0A112
AF-Q52126-F1-model_v4	nahAa	Naphthalene 1,2-dioxygenase system ferredoxin--NAD(P)(+), reductase component	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	-	K14581	Q52126
AF-P0A169-F1-model_v4	nahB	1,2-dihydroxy-1,2-dihydronaphthalene dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	1.3.1.29; 1.3.1.60	K14582	P0A169
AF-P11861-F1-model_v4	nahC	1,2-dihydroxynaphthalene dioxygenase	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	1.13.11.56	K14583	P11861
AF-Q51948-F1-model_v4	nahD	2-hydroxychromene-2-carboxylate isomerase	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	5.99.1.4	K14584	Q51948
AF-Q51947-F1-model_v4	nahE	Trans-O-hydroxybenzylidenepyruvate hydratase-aldolase	Carbon cycling	Aromatic hydrocarbon cycling	napthalene conversion to salicylaldehyde	4.1.2.45	K14585	Q51947
AF-I2DCL0-F1-model_v4	nidA	PAH dioxygenase large subunit	Carbon cycling	Aromatic hydrocarbon cycling	phenanthrene conversion to naphthalene-1,2-diol	-	K11943	I2DCL0
AF-I2DCK9-F1-model_v4	nidB	PAH dioxygenase small beta subunit	Carbon cycling	Aromatic hydrocarbon cycling	phenanthrene conversion to naphthalene-1,2-diol	-	K11944	I2DCK9
AF-Q9LC87-F1-model_v4	phdF	Extradiol dioxygenase	Carbon cycling	Aromatic hydrocarbon cycling	phenanthrene conversion to naphthalene-1,2-diol	-	K11945	Q9LC87
AF-Q9LC84-F1-model_v4	phdG	Hydratase-aldolase	Carbon cycling	Aromatic hydrocarbon cycling	phenanthrene conversion to naphthalene-1,2-diol	-	K11946	Q9LC84
AF-Q9KHU2-F1-model_v4	nidD	Aldehyde dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	phenanthrene conversion to naphthalene-1,2-diol	-	K11947	Q9KHU2
AF-Q9WXG7-F1-model_v4	phdE	Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	phenanthrene conversion to naphthalene-1,2-diol	1.3.1.49	K18257	Q9WXG7
AF-Q05185-F1-model_v4	pht5	4,5-dihydroxyphthalate decarboxylase	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 1	4.1.1.55	K04102	Q05185
AF-A0A6N8HLC2-F1-model_v4	pht4	Phthalate 4,5-cis-dihydrodiol dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 1	1.3.1.64	K18067	A0A6N8HLC2
AF-Q05183-F1-model_v4	pht3	Phthalate 4,5-dioxygenase oxygenase subunit	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 1	1.14.12.7	K18068	Q05183
AF-A0A5P9CJ71-F1-model_v4	pht2	Phthalate 4,5-dioxygenase oxygenase reductase subunit	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 1	-	K18069	A0A5P9CJ71
AF-B8YFX2-F1-model_v4	phtAa	Phthalate dioxygenase large subunit	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 2	-	K18251	B8YFX2
AF-A0A4R2Q9Z7-F1-model_v4	phtAb	Phthalate 3,4-dioxygenase beta subunit	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 2	-	K18252	A0A4R2Q9Z7
AF-Q0RWD0-F1-model_v4	phtAd	Phthalate 3,4-dioxygenase ferredoxin reductase subunit	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 2	1.18.1.3	K18254	Q0RWD0
AF-A1T2B3-F1-model_v4	phtB	Phthalate 3,4-dihydrodiol dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 2	-	K18255	A1T2B3
AF-Q9AGK2-F1-model_v4	phtC	3,4-dihydroxyphthalate decarboxylase	Carbon cycling	Aromatic hydrocarbon cycling	phthalate conversion to protocatechuic acid route 2	4.1.1.69	K18256	Q9AGK2
AF-Q3C1E3-F1-model_v4	tphA2	Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit alpha 1	Carbon cycling	Aromatic hydrocarbon cycling	terephthalate conversion to protocatechuate	1.14.12.15	K18074	Q3C1E3
AF-Q3C1E2-F1-model_v4	tphA3	Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit beta 1	Carbon cycling	Aromatic hydrocarbon cycling	terephthalate conversion to protocatechuate	1.14.12.15	K18075	Q3C1E2
AF-Q3C1E1-F1-model_v4	tphB	1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	terephthalate conversion to protocatechuate	1.3.1.53	K18076	Q3C1E1
AF-Q3C1E0-F1-model_v4	tphA1	Terephthalate 1,2-dioxygenase, reductase component 1	Carbon cycling	Aromatic hydrocarbon cycling	terephthalate conversion to protocatechuate	-	K18077	Q3C1E0
AF-P39849-F1-model_v4	xylB	Aryl-alcohol dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	1.1.1.90	K00055	P39849
AF-P43503-F1-model_v4	xylC	Benzaldehyde dehydrogenase [NAD(+)]	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	1.2.1.28	K00141	P43503
AF-Q00456-F1-model_v4	tmoA	Toluene-4-monooxygenase system, hydroxylase component subunit alpha	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	1.14.13.236	K15760	Q00456
AF-Q00457-F1-model_v4	tmoB	Toluene-4-monooxygenase system, hydroxylase component subunit gamma	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	-	K15761	Q00457
AF-Q00458-F1-model_v4	tmoC	Toluene-4-monooxygenase system, ferredoxin component	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	-	K15762	Q00458
AF-Q00459-F1-model_v4	tmoD	Toluene-4-monooxygenase system, effector component	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	-	K15763	Q00459
AF-Q00460-F1-model_v4	tmoE	Toluene-4-monooxygenase system, hydroxylase component subunit beta	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	-	K15764	Q00460
AF-Q03304-F1-model_v4	tmoF	Toluene-4-monooxygenase system, ferredoxin--NAD(+) reductase component	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoate	1.18.1.3	K15765	Q03304
AF-O87943-F1-model_v4	bssA	Benzylsuccinate synthase alpha subunit	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	4.1.99.11	K07540	O87943
AF-Q9KJF0-F1-model_v4	bbsE	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	2.8.3.15	K07543	Q9KJF0
AF-Q9KJE9-F1-model_v4	bbsF	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsF	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	2.8.3.15	K07544	Q9KJE9
AF-Q9KJE8-F1-model_v4	bbsG	(R)-benzylsuccinyl-CoA dehydrogenase	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	1.3.8.3	K07545	Q9KJE8
AF-Q9KJE7-F1-model_v4	bbsH	(E)-benzylidenesuccinyl-CoA hydratase	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	-	K07546	Q9KJE7
AF-Q9KJF2-F1-model_v4	bbsC	(2S)-[(R)-hydroxy(phenyl)methyl]succinyl-CoA dehydrogenase subunit BbsC	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	1.1.1.429	K07547	Q9KJF2
AF-Q9KJF1-F1-model_v4	bbsD	(2S)-[(R)-hydroxy(phenyl)methyl]succinyl-CoA dehydrogenase subunit BbsD	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	1.1.1.429	K07548	Q9KJF1
AF-Q9KJF4-F1-model_v4	bbsA	Benzoylsuccinyl-CoA thiolase subunit BbsA	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	-	K07549	Q9KJF4
AF-Q9KJF3-F1-model_v4	bbsB	Benzoylsuccinyl-CoA thiolase subunit BbsB	Carbon cycling	Aromatic hydrocarbon cycling	toluene conversion to benzoyl-coa	-	K07550	Q9KJF3
AF-P94679-F1-model_v4	tsaM	Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1	Carbon cycling	Aromatic hydrocarbon cycling	toluene-4-sulfonate conversion to protocatechuic acid	-	K15768	P94679
AF-Q9AHG2-F1-model_v4	tsaB	Toluene-4-sulfonate monooxygenase system reductase subunit TsaB2	Carbon cycling	Aromatic hydrocarbon cycling	toluene-4-sulfonate conversion to protocatechuic acid	-	K15769	Q9AHG2
AF-Q9AHG1-F1-model_v4	tsaD	4-(hydroxymethyl)benzenesulfonate dehydrogenase TsaD2	Carbon cycling	Aromatic hydrocarbon cycling	toluene-4-sulfonate conversion to protocatechuic acid	1.1.1.257	K19629	Q9AHG1
AF-P94681-F1-model_v4	tsaC	4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2	Carbon cycling	Aromatic hydrocarbon cycling	toluene-4-sulfonate conversion to protocatechuic acid	1.2.1.62	K19630	P94681
AF-P21395-F1-model_v4	xylM	Xylene/toluene monooxygenase hydroxylase component XylM	Carbon cycling	Aromatic hydrocarbon cycling	xylene conversion to toluate	1.14.15.26	K15757	P21395
AF-P21394-F1-model_v4	xylA	Xylene/toluene monooxygenase electron transfer component XylA	Carbon cycling	Aromatic hydrocarbon cycling	xylene conversion to toluate	1.18.1.3	K15758	P21394
AF-P16266-F1-model_v4	anfD	[FeFe]-nitrogenase complex dinitrogenase componen subunit alpha	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	-	P16266
AF-P16268-F1-model_v4	anfG	[FeFe]-nitrogenase complex dinitrogenase component delta subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K00531	P16268
AF-P16269-F1-model_v4	anfH	[FeFe]-nitrogenase complex nitrogenase reductase component	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	-	P16269
AF-P16267-F1-model_v4	anfK	[FeFe]-nitrogenase complex dinitrogenase component subunit beta	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	-	P16267
AF-P07328-F1-model_v4	nifD	[FeMo]-nitrogenase complex dinitrogenase alpha subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02586	P07328
AF-P00466-F1-model_v4	nifD	[FeMo]-nitrogenase complex dinitrogenase alpha subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02586	P00466
AF-P33177-F1-model_v4	nifD	[FeMo]-nitrogenase complex dinitrogenase alpha subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02586	P33177
AF-P00459-F1-model_v4	nifH	[FeMo]-nitrogenase complex reductase component	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02588	P00459
AF-P00458-F1-model_v4	nifH	[FeMo]-nitrogenase complex reductase component	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02588	P00458
AF-P33178-F1-model_v4	nifH	[FeMo]-nitrogenase complex reductase component	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02588	P33178
AF-P07329-F1-model_v4	nifK	[FeMo]-nitrogenase complex dinitrogenase component beta subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02591	P07329
AF-P09772-F1-model_v4	nifK	[FeMo]-nitrogenase complex dinitrogenase component beta subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02591	P09772
AF-Q44486-F1-model_v4	nifK	[FeMo]-nitrogenase complex dinitrogenase component beta subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.1	K02591	Q44486
AF-Q44563-F1-model_v4	vnfD	[FeV]-nitrogenase complex dinitrogenase component alpha subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.2	K22896	Q44563
AF-P16857-F1-model_v4	vnfG	[FeV]-nitrogenase complex reductase component	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.2	K22898	P16857
AF-Q57302-F1-model_v4	vnfK	[FeV]-nitrogenase complex dinitrogenase component beta subunit	Nitrogen cycling	N2 fixation	N2 fixation	1.18.6.2	K22897	Q57302
AF-Q04507-F1-model_v4	amoA	Ammonia monooxygenase alpha subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10944	Q04507
AF-Q04508-F1-model_v4	amoB	Ammonia monooxygenase beta subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10945	Q04508
AF-Q82T63-F1-model_v4	amoC	Ammonia monooxygenase gamma subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10946	Q82T63
AF-F4N9Y5-F1-model_v4	amoA	Ammonia monooxygenase alpha subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10944	F4N9Y5
AF-A0A0U3R9G0-F1-model_v4	amoA	Ammonia monooxygenase alpha subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10944	A0A0U3R9G0
AF-F4N9Y6-F1-model_v4	amoB	Ammonia monooxygenase beta subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10945	F4N9Y6
AF-A0A0C5C1W4-F1-model_v4	amoB	Ammonia monooxygenase beta subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10945	A0A0C5C1W4
AF-A0A0D5C0I4-F1-model_v4	amoC	Ammonia monooxygenase gamma subunit	Nitrogen cycling	Nitrification	Ammonia oxidation (Nitrification)	1.14.99.39	K10946	A0A0D5C0I4
